               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.023857,            0.017083,           0.0011422,              0.9425,                0.83,             0.94623,             0.63836,            0.020413,            0.014151,           0.0004558,           0.0043126,           0.0043126,           0.0043126
                 119,            0.023524,            0.017235,           0.0011808,             0.91414,             0.89418,             0.96212,             0.65975,            0.020779,            0.014011,          0.00022807,           0.0042445,           0.0042445,           0.0042445
                 120,            0.023603,            0.017274,           0.0012826,             0.88643,             0.90733,             0.94236,             0.63595,            0.020616,            0.014541,          0.00025993,           0.0041768,           0.0041768,           0.0041768
                 121,            0.023017,            0.017037,           0.0012493,             0.92279,             0.91196,              0.9535,             0.65399,            0.019496,            0.013969,          0.00045158,           0.0041094,           0.0041094,           0.0041094
                 122,            0.023059,            0.016882,           0.0011259,             0.95455,             0.88183,              0.9669,             0.64891,            0.020853,            0.014378,          0.00019007,           0.0040424,           0.0040424,           0.0040424
                 123,            0.023097,            0.016753,            0.001235,             0.91812,             0.87161,             0.95512,             0.66211,            0.020245,             0.01397,          0.00017284,           0.0039757,           0.0039757,           0.0039757
                 124,            0.023154,            0.016686,          0.00099481,             0.93898,             0.88571,             0.96231,             0.67029,            0.019667,            0.013924,          0.00032108,           0.0039094,           0.0039094,           0.0039094
                 125,            0.023309,            0.016555,          0.00093618,             0.96165,             0.86126,              0.9551,             0.65663,            0.020373,            0.014215,          0.00022587,           0.0038434,           0.0038434,           0.0038434
                 126,            0.022668,            0.016901,           0.0011633,             0.89087,              0.9334,             0.96529,             0.66539,            0.019987,            0.014343,           0.0001585,           0.0037779,           0.0037779,           0.0037779
                 127,            0.022739,            0.016571,           0.0011385,             0.92496,             0.90177,             0.95799,             0.65559,            0.020101,            0.014046,          0.00028241,           0.0037128,           0.0037128,           0.0037128
                 128,            0.022398,            0.016555,           0.0011312,              0.9538,             0.88289,             0.95851,             0.66853,            0.019708,            0.014251,          0.00029187,           0.0036482,           0.0036482,           0.0036482
                 129,            0.022426,            0.016803,           0.0010635,              0.9453,             0.84578,             0.95234,             0.64522,            0.020495,            0.013884,          0.00033778,            0.003584,            0.003584,            0.003584
                 130,            0.022183,             0.01639,          0.00094502,             0.95125,             0.87169,             0.95517,             0.65596,             0.01962,            0.014153,          0.00022367,           0.0035203,           0.0035203,           0.0035203
